DATE,Nifty_Close,Infy_Close
2016-10-27,8615.25,1003.50
2016-10-26,8615.25,1014.20001
2016-10-25,8691.299805,1017.20001
2016-10-24,8708.950195,1027.09998
2016-10-21,8693.049805,1038.30005
2016-10-20,8699.400391,1025.65001
2016-10-19,8659.099609,1030.74539
2016-10-18,8677.900391,1028.02457
2016-10-17,8520.400391,1011.55122
2016-10-14,8583.400391,1016.25082
2016-10-13,8573.349609,1041.18337
2016-10-10,8708.799805,1019.02103
2016-10-07,8697.599609,1001.8057
2016-10-06,8709.549805,1016.49816
2016-10-05,8743.950195,1030.44852
2016-10-04,8769.150391,1038.06677
2016-10-03,8738.099609,1027.08458
2016-09-30,8611.150391,1025.0564
2016-09-29,8591.25,1018.27899
2016-09-28,8745.150391,1027.92553
2016-09-27,8706.400391,1028.71709
2016-09-26,8723.049805,1024.90797
2016-09-23,8831.549805,1031.48743
2016-09-22,8867.450195,1047.565
2016-09-21,8777.150391,1044.54731
2016-09-20,8775.900391,1039.00676
2016-09-19,8808.400391,1049.93943
2016-09-16,8779.849609,1048.90065
2016-09-15,8742.549805,1031.14105
2016-09-14,8726.599609,1034.50499
2016-09-12,8715.599609,1042.81588
2016-09-09,8866.700195,1024.51219
2016-09-08,8952.50,1026.6394
2016-09-07,8917.950195,1043.16214
2016-09-06,8943.00,1033.91138
2016-09-02,8809.650391,1020.90089
2016-09-01,8774.650391,1026.54048
2016-08-31,8786.200195,1024.85845
2016-08-30,8744.349609,1029.36022
2016-08-29,8607.450195,1011.94694
2016-08-26,8572.549805,1009.42401
2016-08-25,8592.200195,1025.15532
2016-08-24,8650.299805,1046.17983
2016-08-23,8632.599609,1028.61818
2016-08-22,8629.150391,1004.67495
2016-08-19,8666.900391,1010.46285
2016-08-18,8673.25,1012.54061
2016-08-17,8624.049805,1022.33558
2016-08-16,8642.549805,1040.63928
2016-08-11,8592.150391,1065.91809
2016-08-10,8575.299805,1070.86503
2016-08-09,8678.25,1071.90394
2016-08-08,8711.349609,1067.25374
2016-08-05,8683.150391,1056.66733
2016-08-04,8551.099609,1060.42705
2016-08-03,8544.849609,1073.38802
2016-08-02,8622.900391,1072.29972
2016-08-01,8636.549805,1073.73429
2016-07-29,8638.50,1062.45523
2016-07-28,8666.299805,1066.06652
2016-07-27,8615.799805,1073.8332
2016-07-26,8590.650391,1077.14763
2016-07-25,8635.650391,1069.38095
2016-07-22,8541.200195,1061.07006
2016-07-21,8510.099609,1068.44108
